filename|entry_date|entry_timestamp|book|chapter|verse
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:29:45|Wed 1 Jan 2014 00:29:45|1Corinthians|3|4
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:29:47|Wed 1 Jan 2014 00:29:47|1Corinthians|3|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:34:20|Wed 1 Jan 2014 00:34:20|1Corinthians|3|4
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:34:22|Wed 1 Jan 2014 00:34:22|1Corinthians|3|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:40:18|Wed 1 Jan 2014 00:40:18|Ezra|9|13
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:40:20|Wed 1 Jan 2014 00:40:20|Ezra|9|14
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:40:22|Wed 1 Jan 2014 00:40:22|Ezra|9|13
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:40:31|Wed 1 Jan 2014 00:40:31|1Corinthians|3|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:40:33|Wed 1 Jan 2014 00:40:33|1Corinthians|3|4
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:40:34|Wed 1 Jan 2014 00:40:34|1Corinthians|3|3
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:41:17|Wed 1 Jan 2014 00:41:17|Isaiah|46|10
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:41:27|Wed 1 Jan 2014 00:41:27|Romans|8|29
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:50:09|Wed 1 Jan 2014 00:50:09|Proverbs|16|27
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:50:48|Wed 1 Jan 2014 00:50:48|Proverbs|16|27
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:50:48|Wed 1 Jan 2014 00:50:48|Proverbs|16|28
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:52:10|Wed 1 Jan 2014 00:52:10|Proverbs|16|27
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:52:12|Wed 1 Jan 2014 00:52:12|Proverbs|16|28
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:53:50|Wed 1 Jan 2014 00:53:50|Proverbs|16|28
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:55:20|Wed 1 Jan 2014 00:55:20|Proverbs|16|28
BDA 2014 1 01.txt|Wed 1 Jan 2014 00:55:20|Wed 1 Jan 2014 00:55:20|Proverbs|16|29
